2026-01-24 23:26:38 | INFO | Chunks already exist at /Users/nurlykhan/rag_paper/data/chunks/all_chunks.json
2026-01-24 23:26:38 | INFO | BM25 index already exists at /Users/nurlykhan/rag_paper/data/index/bm25_kaznlp.pkl
2026-01-24 23:26:38 | INFO | FAISS index already exists at /Users/nurlykhan/rag_paper/data/index/faiss_index.faiss
2026-01-24 23:26:38 | INFO | ======================================================================
2026-01-24 23:26:38 | INFO | EXPERIMENT RUN: 20260124_232638
2026-01-24 23:26:38 | INFO | ======================================================================
2026-01-24 23:26:38 | INFO | 
[1/6] Loading questions...
2026-01-24 23:26:38 | INFO |   Loaded 100 questions
2026-01-24 23:26:38 | INFO | 
[2/6] Loading chunk index...
2026-01-24 23:26:38 | INFO |   Index has 12886 documents
2026-01-24 23:26:38 | INFO | 
[3/6] Loading chunks...
2026-01-24 23:26:40 | INFO |   Loaded 263326 chunks in 2.3s
2026-01-24 23:26:40 | INFO | 
[4/6] Loading retrievers...
2026-01-24 23:26:40 | INFO |   Loading BM25 retriever...
2026-01-24 23:26:46 | INFO |     BM25 loaded in 6.6s
2026-01-24 23:26:46 | INFO |   Loading Vector retriever...
2026-01-24 23:26:50 | INFO |     Vector loaded in 3.3s
2026-01-24 23:26:50 | INFO |   Loading Hybrid retriever...
2026-01-24 23:27:04 | INFO |     Hybrid loaded in 14.5s
2026-01-24 23:27:04 | INFO | 
[5/6] Models to evaluate: ['GPT-4o', 'GPT-4o-mini', 'GPT-5', 'GPT-5-mini', 'o1', 'o1-mini']
2026-01-24 23:27:04 | INFO |   Retrieval methods: ['bm25', 'vector', 'hybrid']
2026-01-24 23:27:04 | INFO | 
======================================================================
2026-01-24 23:27:04 | INFO | RETRIEVAL EVALUATION
2026-01-24 23:27:04 | INFO | ======================================================================
2026-01-24 23:27:04 | DEBUG | Q1: Сколиозбен байланысты емес омыртқаның туа біткен а... | Gold: {167356}
2026-01-24 23:27:06 | DEBUG |   bm25: Retrieved [168430, 168424, 168425]... | R@6=0.00
2026-01-24 23:27:11 | DEBUG |   vector: Retrieved [111632, 75765, 224811]... | R@6=0.00
2026-01-24 23:27:14 | DEBUG |   hybrid: Retrieved [168430, 168425, 168424]... | R@6=0.00
2026-01-24 23:27:14 | DEBUG | Q2: Құрылымдық бөлімшенің басшысы қандай жауапкершілік... | Gold: {29305}
2026-01-24 23:27:15 | DEBUG |   bm25: Retrieved [125457, 144629, 95095]... | R@6=0.00
2026-01-24 23:27:16 | DEBUG |   vector: Retrieved [220942, 135503, 42406]... | R@6=0.00
2026-01-24 23:27:18 | DEBUG |   hybrid: Retrieved [125457, 220942, 144629]... | R@6=0.00
2026-01-24 23:27:18 | DEBUG | Q3: Ауылдық округтер бойынша сандарды ауыстырудың негі... | Gold: {6591}
2026-01-24 23:27:20 | DEBUG |   bm25: Retrieved [5140, 59870, 68261]... | R@6=0.00
2026-01-24 23:27:21 | DEBUG |   vector: Retrieved [183297, 257706, 157770]... | R@6=0.00
2026-01-24 23:27:24 | DEBUG |   hybrid: Retrieved [163752, 24883, 5140]... | R@6=0.00
2026-01-24 23:27:24 | DEBUG | Q4: Тыңдау туралы хабарлама қанша жұмыс күні бұрын жіб... | Gold: {195303}
2026-01-24 23:27:26 | DEBUG |   bm25: Retrieved [41599, 45532, 45521]... | R@6=0.00
2026-01-24 23:27:27 | DEBUG |   vector: Retrieved [212810, 10441, 152118]... | R@6=0.00
2026-01-24 23:27:30 | DEBUG |   hybrid: Retrieved [210308, 86890, 190283]... | R@6=0.00
2026-01-24 23:27:30 | DEBUG | Q5: Қазақстан Республикасының Экология, геология және ... | Gold: {72434}
2026-01-24 23:27:33 | DEBUG |   bm25: Retrieved [72468, 72467, 67705]... | R@6=0.00
2026-01-24 23:27:34 | DEBUG |   vector: Retrieved [173792, 46978, 195919]... | R@6=0.00
2026-01-24 23:27:37 | DEBUG |   hybrid: Retrieved [72468, 86137, 21231]... | R@6=0.00
2026-01-24 23:27:37 | DEBUG | Q6: Кедендік рәсіммен орналастырылған тауарларды қайта... | Gold: {64177}
2026-01-24 23:27:39 | DEBUG |   bm25: Retrieved [64547, 64501, 64533]... | R@6=0.00
2026-01-24 23:27:40 | DEBUG |   vector: Retrieved [64394, 64592, 64704]... | R@6=0.00
2026-01-24 23:27:43 | DEBUG |   hybrid: Retrieved [64502, 64704, 64496]... | R@6=0.00
2026-01-24 23:27:43 | DEBUG | Q7: Е-собес автоматтандырылған ақпараттық жүйесінің де... | Gold: {58772}
2026-01-24 23:27:46 | DEBUG |   bm25: Retrieved [58808, 209844, 184742]... | R@6=0.00
2026-01-24 23:27:47 | DEBUG |   vector: Retrieved [248461, 184742, 213693]... | R@6=0.00
2026-01-24 23:27:50 | DEBUG |   hybrid: Retrieved [184742, 58808, 184720]... | R@6=0.00
2026-01-24 23:27:50 | DEBUG | Q8: Шартпен шектелетін, тұрақты қоймалық сақталудың бе... | Gold: {36734}
2026-01-24 23:27:53 | DEBUG |   bm25: Retrieved [36770, 36888, 36769]... | R@6=0.00
2026-01-24 23:27:54 | DEBUG |   vector: Retrieved [36770, 36769, 36771]... | R@6=0.00
2026-01-24 23:27:57 | DEBUG |   hybrid: Retrieved [36770, 36769, 36771]... | R@6=0.00
2026-01-24 23:27:57 | DEBUG | Q9: Мемлекеттік білім беру ұйымдарының педагогтеріне б... | Gold: {193979}
2026-01-24 23:27:59 | DEBUG |   bm25: Retrieved [212636, 149103, 193985]... | R@6=0.00
2026-01-24 23:28:00 | DEBUG |   vector: Retrieved [149103, 100714, 100719]... | R@6=0.00
2026-01-24 23:28:04 | DEBUG |   hybrid: Retrieved [149103, 137458, 194576]... | R@6=0.00
2026-01-24 23:28:04 | DEBUG | Q10: Қазақстанда балалар мен емделушілерді тегін және ж... | Gold: {26992}
2026-01-24 23:28:06 | DEBUG |   bm25: Retrieved [159091, 33888, 258902]... | R@6=0.00
2026-01-24 23:28:07 | DEBUG |   vector: Retrieved [262407, 66285, 135355]... | R@6=0.00
2026-01-24 23:28:10 | DEBUG |   hybrid: Retrieved [262407, 159091, 33888]... | R@6=0.00
2026-01-24 23:28:10 | DEBUG | Q11: Бағаланатын адамның НМИ міндеттерін орындау дәреже... | Gold: {178235}
2026-01-24 23:28:13 | DEBUG |   bm25: Retrieved [236821, 207275, 178244]... | R@6=0.00
2026-01-24 23:28:14 | DEBUG |   vector: Retrieved [58226, 20045, 178095]... | R@6=0.00
2026-01-24 23:28:16 | DEBUG |   hybrid: Retrieved [117174, 111454, 178095]... | R@6=0.00
2026-01-24 23:28:16 | DEBUG | Q12: Сазқұндыздардың түк үлпегінің біркелкілігін бағала... | Gold: {194809}
2026-01-24 23:28:18 | DEBUG |   bm25: Retrieved [195090, 195088, 195086]... | R@6=0.00
2026-01-24 23:28:19 | DEBUG |   vector: Retrieved [33021, 39794, 109747]... | R@6=0.00
2026-01-24 23:28:22 | DEBUG |   hybrid: Retrieved [195090, 33021, 195088]... | R@6=0.00
2026-01-24 23:28:22 | DEBUG | Q13: Қазақстандағы жеке меншік мониторингінің мазмұны м... | Gold: {234952}
2026-01-24 23:28:24 | DEBUG |   bm25: Retrieved [73867, 5403, 123343]... | R@6=0.00
2026-01-24 23:28:25 | DEBUG |   vector: Retrieved [234963, 251900, 234971]... | R@6=0.00
2026-01-24 23:28:27 | DEBUG |   hybrid: Retrieved [110404, 73867, 234963]... | R@6=0.00
2026-01-24 23:28:27 | DEBUG | Q14: Бас банк пен еншілес банк арасындағы операциялар қ... | Gold: {22909}
